Subject,Cenotaph Field,SPARQL QUERY STRING,Result Type
am:alternativeName,conflict,am:alternativeName/am:conflict,STRING
am:alternativeName,nameDateEarliest,am:alternativeName/am:nameDate_earliest,DATE
am:alternativeName,nameDateLatest,am:alternativeName/am:nameDate_latest,DATE
am:alternativeName,title,am:alternativeName/foaf:title,STRING
am:alternativeName,alternativeName,am:alternativeName/rdf:value,STRING
am:beforeEnlistment,addressBeforeEnlistment,am:beforeEnlistment/am:addressBeforeEnlistment,STRING
am:beforeEnlistment,ageBeforeEnlistment,am:beforeEnlistment/am:ageBeforeEnlistment,INT
am:beforeEnlistment,conflict,am:beforeEnlistment/am:conflict,STRING
am:beforeEnlistment,dateForAddressBeforeEnlistment,am:beforeEnlistment/am:dateForAddressBeforeEnlistment,STRING
am:beforeEnlistment,addressDateEarliest,am:beforeEnlistment/am:dateForAddressBeforeEnlistment_earliest,DATE
am:beforeEnlistment,addressDateLatest,am:beforeEnlistment/am:dateForAddressBeforeEnlistment_latest,DATE
am:beforeEnlistment,placeBeforeEnlistment,am:beforeEnlistment/am:placeBeforeEnlistment,STRING
am:birth,birthNotes,am:birth/am:birthNotes,STRING
am:birth,dateOfBirth,am:birth/am:dateOfBirth,STRING
am:birth,dateOfBirthEarliest,am:birth/am:dateOfBirth_earliest,DATE
am:birth,dateOfBirthLatest,am:birth/am:dateOfBirth_latest,DATE
am:birth,dateSource,am:birth/am:dateOfBirthSource,STRING
am:birth,originalPlaceData,am:birth/am:originalPlaceData,STRING
am:birth,placeOfBirth,am:birth/am:placeOfBirth,STRING
am:birth,placeSource,am:birth/am:placeOfBirthSource,STRING
am:campaign,campaignDuration,am:campaign/am:campaignDate,STRING
am:campaign,campaignDateEarliest,am:campaign/am:campaignDate_earliest,DATE
am:campaign,campaignDateLatest,am:campaign/am:campaignDate_latest,DATE
am:campaign,dateSource,am:campaign/am:campaignDateSource,STRING
am:campaign,campaignEvent,am:campaign/am:campaignEvent,am:Event
am:campaign,eventSource,am:campaign/am:campaignEventSource,STRING
am:campaign,campaignNotes,am:campaign/am:campaignNotes,STRING
am:campaign,campaignPlace,am:campaign/am:campaignPlace,STRING
am:campaign,placeSource,am:campaign/am:campaignPlaceSource,STRING
am:campaign/am:campaignEvent,associatedEvent,am:campaign/am:campaignEvent/am:associatedEvent,am:Event
am:campaign/am:campaignEvent,dateFrom,am:campaign/am:campaignEvent/am:dateFrom,STRING
am:campaign/am:campaignEvent,dateTo,am:campaign/am:campaignEvent/am:dateTo,STRING
am:campaign/am:campaignEvent,date,am:campaign/am:campaignEvent/am:eventDate,STRING
am:campaign/am:campaignEvent,description,am:campaign/am:campaignEvent/am:eventDescription,STRING
am:campaign/am:campaignEvent,duration,am:campaign/am:campaignEvent/am:eventDuration,STRING
am:campaign/am:campaignEvent,name,am:campaign/am:campaignEvent/am:eventName,STRING
am:campaign/am:campaignEvent,period,am:campaign/am:campaignEvent/am:eventPeriod,STRING
am:campaign/am:campaignEvent,place,am:campaign/am:campaignEvent/am:eventPlace,STRING
am:campaign/am:campaignEvent,placeNotes,am:campaign/am:campaignEvent/am:eventPlaceNotes,STRING
am:campaign/am:campaignEvent,type,am:campaign/am:campaignEvent/am:eventType,STRING
am:capture,captureDuration,am:capture/am:captureDuration,STRING
am:capture,captureDateEarliest,am:capture/am:captureDuration_earliest,DATE
am:capture,captureDateLatest,am:capture/am:captureDuration_latest,DATE
am:capture,dateSource,am:capture/am:captureDurationSource,STRING
am:capture,captureEvent,am:capture/am:captureEvent,am:Event
am:capture,eventSource,am:capture/am:captureEventSource,STRING
am:capture,captureNotes,am:capture/am:captureNotes,STRING
am:capture,capturePlace,am:capture/am:capturePlace,STRING
am:capture,placeSource,am:capture/am:capturePlaceSource,STRING
am:capture,conflict,am:capture/am:conflict,STRING
am:capture,powDaysInterned,am:capture/am:powDaysInterned,INT
am:capture,powSerialNumber,am:capture/am:powSerialNumber,am:ServiceNumber
am:cemetery,cemeteryPlace,am:cemetery/am:cemeteryPlace,STRING
am:cemetery,conflict,am:cemetery/am:conflict,STRING
am:cemetery,graveReference,am:cemetery/am:graveReference,STRING
am:cemetery,restingPlace,am:cemetery/am:restingPlace,STRING
am:death,ageAtDeath,am:death/am:ageAtDeath,INT
am:death,dateOfDeath,am:death/am:dateOfDeath,STRING
am:death,dateOfDeathEarliest,am:death/am:dateOfDeath_earliest,DATE
am:death,dateOfDeathLatest,am:death/am:dateOfDeath_latest,DATE
am:death,dateSource,am:death/am:dateOfDeathSource,STRING
am:death,obituary,am:death/am:obituary,STRING
am:death,placeOfDeath,am:death/am:placeOfDeath,STRING
am:death,placeSource,am:death/am:placeOfDeathSource,STRING
am:death,rankLastHeld,am:death/am:rankLastHeld,am:MilitaryRank
am:death,rankSource,am:death/am:rankLastHeldSource,STRING
am:death,unitLast,am:death/am:unitLast,am:MilitaryUnit
am:death,unitSource,am:death/am:unitLastSource,STRING
am:discharge,ageAtDischarge,am:discharge/am:ageAtDischarge,INT
